Node,Time
12760,0.0023
12770,0.002336
12780,0.002295
12790,0.002325
12800,0.002308
12810,0.002361
12820,0.002439
12830,0.002328
12840,0.002338
12850,0.002342
12860,0.002354
12870,0.002319
12880,0.002346
12890,0.002511
12900,0.00245
12910,0.002332
12920,0.00236
12930,0.002353
12940,0.002361
12950,0.002363
12960,0.002382
12970,0.002376
12980,0.00237
12990,0.002373
13000,0.002341
13010,0.002354
13020,0.002429
13030,0.002375
13040,0.002352
13050,0.002355
13060,0.002382
13070,0.002379
13080,0.002386
13090,0.002399
13100,0.002367
13110,0.002416
13120,0.002387
13130,0.00243
13140,0.002377
13150,0.002425
13160,0.002374
13170,0.002377
13180,0.002409
13190,0.002429
13200,0.002409
13210,0.002383
13220,0.002439
13230,0.00239
13240,0.002453
13250,0.002389
13260,0.002395
13270,0.002427
13280,0.002447
13290,0.002403
13300,0.002408
13310,0.002425
13320,0.002431
13330,0.002409
13340,0.002502
13350,0.002435
13360,0.00244
13370,0.002416
13380,0.002573
13390,0.002425
13400,0.002453
13410,0.002467
13420,0.002468
13430,0.002481
13440,0.002479
13450,0.002434
13460,0.002447
13470,0.00247
13480,0.002487
13490,0.0027
13500,0.002456
13510,0.002443
13520,0.002536
13530,0.002446
13540,0.002531
13550,0.002451
13560,0.00247
13570,0.002861
13580,0.002477
13590,0.002461
13600,0.00261
13610,0.002497
13620,0.002469
13630,0.002469
13640,0.002496
13650,0.002472
13660,0.002536
13670,0.002515
13680,0.002544
13690,0.002488
13700,0.002515
13710,0.00249
13720,0.002508
13730,0.002495
13740,0.002523
13750,0.002494
13760,0.002533
13770,0.002498
13780,0.002519
13790,0.002503
13800,0.002554
13810,0.002544
13820,0.002539
13830,0.002508
13840,0.002538
13850,0.002514
13860,0.002547
13870,0.002517
13880,0.002548
13890,0.002523
13900,0.002524
13910,0.002558
13920,0.002552
13930,0.002587
13940,0.002564
13950,0.00256
13960,0.002559
13970,0.002533
13980,0.00254
13990,0.002577
14000,0.002568
14010,0.002547
14020,0.002601
14030,0.002581
14040,0.002592
14050,0.002577
14060,0.002563
14070,0.002555
14080,0.002605
14090,0.002563
14100,0.002585
14110,0.002615
14120,0.002589
14130,0.00257
14140,0.002602
14150,0.002574
14160,0.002626
14170,0.002625
14180,0.002605
14190,0.002583
14200,0.002606
14210,0.002616
14220,0.002592
14230,0.002591
14240,0.002642
14250,0.002631
14260,0.002622
14270,0.002623
14280,0.002631
14290,0.002612
14300,0.002674
14310,0.002665
14320,0.002626
14330,0.002636
14340,0.002664
14350,0.002639
14360,0.002808
14370,0.002614
14380,0.002619
14390,0.002651
14400,0.002623
14410,0.002627
14420,0.002658
14430,0.002654
14440,0.002675
14450,0.00267
14460,0.002685
14470,0.002837
14480,0.002686
14490,0.00264
14500,0.002679
14510,0.002647
14520,0.002646
14530,0.002687
14540,0.0027
14550,0.002655
14560,0.002659
14570,0.002662
14580,0.002853
14590,0.0027
14600,0.002693
14610,0.002718
14620,0.002669
14630,0.00267
14640,0.002675
14650,0.002735
14660,0.002716
14670,0.002677
14680,0.002681
14690,0.002757
14700,0.002685
14710,0.002829
14720,0.002771
14730,0.0027
14740,0.002689
14750,0.002695
14760,0.00272
14770,0.002697
14780,0.002729
14790,0.002719
14800,0.002729
14810,0.002703
14820,0.002758
14830,0.002768
14840,0.002739
14850,0.002735
14860,0.002718
14870,0.002739
14880,0.002748
14890,0.002748
14900,0.002799
14910,0.002758
14920,0.00276
14930,0.00273
14940,0.002757
14950,0.002775
14960,0.002772
14970,0.002763
14980,0.002819
14990,0.002768
15000,0.002803
15010,0.002776
15020,0.002768
15030,0.002773
15040,0.002763
15050,0.002776
15060,0.002756
15070,0.002786
15080,0.002755
15090,0.002816
15100,0.002762
15110,0.002774
15120,0.002784
15130,0.002818
15140,0.00278
15150,0.002774
15160,0.002795
15170,0.002788
15180,0.002812
15190,0.002823
15200,0.002803
15210,0.002999
15220,0.002895
15230,0.002828
15240,0.002854
15250,0.002803
15260,0.002824
15270,0.00283
15280,0.002831
15290,0.002799
15300,0.002888
15310,0.002829
15320,0.002856
15330,0.002899
15340,0.002834
15350,0.002835
15360,0.002819
15370,0.00288
15380,0.002853
15390,0.002826
15400,0.002823
15410,0.002888
15420,0.002871
15430,0.002826
15440,0.002858
15450,0.002995
15460,0.002856
15470,0.002867
15480,0.002864
15490,0.002839
15500,0.002851
15510,0.002909
15520,0.00291
15530,0.002864
15540,0.002849
15550,0.002884
15560,0.003053
15570,0.002884
15580,0.002919
15590,0.002897
15600,0.002869
15610,0.002871
15620,0.002923
15630,0.002897
15640,0.002901
15650,0.002911
15660,0.002883
15670,0.003034
15680,0.002914
15690,0.003009
15700,0.002944
15710,0.002995
15720,0.002915
15730,0.00292
15740,0.002917
15750,0.002922
15760,0.002922
15770,0.002894
15780,0.002964
15790,0.002925
15800,0.002971
15810,0.002934
15820,0.002949
15830,0.002908
15840,0.002981
15850,0.002983
15860,0.002939
15870,0.002978
15880,0.002918
15890,0.002943
15900,0.002926
15910,0.002951
15920,0.002947
15930,0.002958
15940,0.00293
15950,0.002936
15960,0.002976
15970,0.002977
15980,0.002936
15990,0.002989
16000,0.002939
16010,0.00295
16020,0.00301
16030,0.003004
16040,0.002949
16050,0.002954
16060,0.002976
16070,0.003009
16080,0.002955
16090,0.002999
16100,0.003018
16110,0.002968
16120,0.003038
16130,0.003023
16140,0.002977
16150,0.002996
16160,0.002998
16170,0.002977
16180,0.00301
16190,0.002985
16200,0.003005
16210,0.002994
16220,0.003066
16230,0.00304
16240,0.00299
16250,0.00299
16260,0.003107
16270,0.002993
16280,0.003028
16290,0.00304
16300,0.003029
16310,0.003007
16320,0.00301
16330,0.003039
16340,0.003036
16350,0.003011
16360,0.003045
16370,0.003071
16380,0.003038
16390,0.003046
16400,0.003071
16410,0.003021
16420,0.003026
16430,0.003216
16440,0.003095
16450,0.003066
16460,0.003059
16470,0.003056
16480,0.003086
16490,0.003118
16500,0.003086
16510,0.003069
16520,0.003052
16530,0.003113
16540,0.003287
16550,0.00307
16560,0.003109
16570,0.00306
16580,0.00307
16590,0.003096
16600,0.003103
16610,0.003068
16620,0.003127
16630,0.003109
16640,0.003078
16650,0.003279
16660,0.003158
16670,0.003087
16680,0.003153
16690,0.00312
16700,0.003351
16710,0.003095
16720,0.003119
16730,0.003092
16740,0.003133
16750,0.003174
16760,0.003133
16770,0.0031
16780,0.003132
16790,0.003109
16800,0.003128
16810,0.003138
16820,0.00314
16830,0.003119
16840,0.003126
16850,0.003171
16860,0.003153
16870,0.003134
16880,0.003162
16890,0.003124
16900,0.003198
16910,0.003154
16920,0.003161
16930,0.003134
16940,0.003194
16950,0.003174
16960,0.003195
16970,0.003199
16980,0.00317
16990,0.003153
17000,0.003157
17010,0.00321
17020,0.003208
17030,0.003158
17040,0.003201
17050,0.003212
17060,0.003188
17070,0.003258
17080,0.003364
17090,0.003191
17100,0.003251
17110,0.0032
17120,0.003181
17130,0.003228
17140,0.003179
17150,0.003197
17160,0.003237
17170,0.003221
17180,0.003187
17190,0.003331
17200,0.003377
